一;One
二;Two
九;Nine
七;Seven
人;Person
入;Enter
八;Eight
力;Power
十;Ten
三;Three
上;Above
下;Below
口;Mouth
大;Big
女;Woman
山;Mountain
川;River
工;Construction
刀;Sword
土;Dirt
千;Thousand
夕;Evening
子;Child
小;Small
丁;Street
了;Finish
又;Again
丸;Circle
才;Genius
中;Middle
五;Five
六;Six
円;Yen
天;Heaven
手;Hand
文;Writing
日;Sun
月;Moon
木;Tree
水;Water
火;Fire
犬;Dog
王;King
出;Exit
右;Right
四;Four
左;Left
本;Book
正;Correct
玉;Ball
田;Rice Paddy
白;White
目;Eye
石;Stone
立;Stand
万;Ten Thousand
久;Long Time
今;Now
元;Origin
公;Public
内;Inside
分;Part
切;Cut
午;Noon
友;Friend
太;Fat
少;Few
引;Pull
心;Heart
戸;Door
方;Direction
牛;Cow
父;Father
毛;Fur
止;Stop
兄;Older Brother
冬;Winter
北;North
半;Half
古;Old
台;Machine
外;Outside
市;City
広;Wide
母;Mother
用;Task
矢;Arrow
世;World
主;Master
他;Other
代;Substitute
写;Copy
去;Past
号;Number
央;Center
平;Flat
打;Hit
氷;Ice
申;Say Humbly
皮;Skin
皿;Plate
礼;Thanks
休;Rest
先;Previous
名;Name
字;Letter
年;Year
早;Early
気;Energy
百;Hundred
竹;Bamboo
糸;Thread
耳;Ear
虫;Insect
村;Village
男;Man
町;Town
花;Flower
見;See
貝;Shellfish
赤;Red
足;Foot
車;Car
不;Not
仕;Doing
交;Mix
会;Meet
光;Sunlight
同;Same
回;Times
多;Many
当;Correct
毎;Every
池;Pond
米;Rice
羽;Feather
考;Think
肉;Meat
自;Self
色;Color
行;Go
西;West
何;What
体;Body
作;Make
図;Diagram
声;Voice
売;Sell
弟;Younger Brother
形;Shape
来;Come
社;Company
角;Angle
言;Say
谷;Valley
走;Run
近;Near
里;Hometown
麦;Wheat
学;Study
林;Forest
空;Sky
金;Gold
雨;Rain
青;Blue
草;Grass
音;Sound
化;Change
地;Earth
両;Both
全;All
向;Yonder
安;Relax
州;State
曲;Music
有;Have
次;Next
死;Death
羊;Sheep
血;Blood
京;Capital
国;Country
夜;Night
妹;Younger Sister
姉;Older Sister
店;Shop
明;Bright
東;East
歩;Walk
画;Drawing
直;Fix
知;Know
長;Long
前;Front
南;South
室;Room
後;Behind
思;Think
星;Star
活;Lively
海;Sea
点;Point
科;Course
茶;Tea
食;Eat
首;Neck
欠;Lack
氏;Family Name
由;Reason
札;Bill
民;Peoples
辺;Area
付;Attach
以;From
失;Fault
必;Certain
未;Not Yet
末;End
校;School
夏;Summer
家;House
弱;Weak
時;Time
紙;Paper
記;Write Down
通;Pass Through
高;Tall
強;Strong
教;Teach
理;Reason
組;Group
船;Boat
週;Week
雪;Snow
魚;Fish
鳥;Bird
黄;Yellow
黒;Black
支;Support
住;Dwell
助;Help
医;Medicine
君;Buddy
対;Versus
局;Bureau
役;Service
投;Throw
決;Decide
究;Research
身;Somebody
者;Someone
研;Sharpen
馬;Horse
森;Forest
場;Location
朝;Morning
番;Number In A Series
答;Answer
絵;Drawing
買;Buy
道;Road
間;Interval
雲;Cloud
数;Count
楽;Comfort
話;Talk
電;Electricity
所;Place
事;Action
使;Use
具;Tool
受;Accept
和;Peace
始;Begin
定;Determine
実;Truth
服;Clothes
泳;Swim
物;Thing
苦;Suffering
表;Express
部;Part
乗;Ride
客;Guest
屋;Roof
度;Degree
待;Wait
持;Hold
界;World
発;Departure
相;Mutual
県;Prefecture
美;Beauty
負;Lose
送;Send
重;Heavy
談;Discuss
要;Need
勝;Win
仮;Temporary
起;Wake Up
速;Fast
配;Distribute
酒;Alcohol
院;Institution
終;End
習;Learn
転;Revolve
進;Advance
落;Fall
葉;Leaf
軽;Lightweight
運;Carry
開;Open
集;Collect
飲;Drink
業;Business
漢;Chinese
路;Road
農;Farming
鉄;Iron
歌;Song
算;Calculate
聞;Hear
語;Language
読;Read
鳴;Chirp
線;Line
横;Side
調;Investigate
親;Parent
頭;Head
顔;Face
病;Sick
最;Most
争;Conflict
仲;Relationship
伝;Transmit
共;Together
好;Like
成;Become
老;Elderly
位;Rank
低;Low
初;First
別;Separate
利;Profit
努;Toil
労;Labor
命;Fate
岸;Coast
放;Release
昔;Long Ago
波;Wave
注;Pour
育;Nurture
拾;Pick Up
指;Finger
洋;Western Style
神;God
秒;Second
級;Level
追;Follow
戦;War
競;Compete
良;Good
功;Achievement
特;Special
便;Convenience
働;Work
令;Orders
意;Idea
味;Flavor
勉;Exertion
庭;Garden
息;Breath
旅;Trip
根;Root
流;Stream
消;Extinguish
倍;Double
員;Member
島;Island
祭;Festival
章;Chapter
第;Ordinal Number Prefix
都;Metropolis
動;Move
商;Merchandise
悪;Bad
族;Tribe
深;Deep
球;Sphere
童;Juvenile
陽;Sunshine
